Comment,Description,Designator,Footprint,LibRef,Quantity

"CAP 0.1uF 50V X7R 0603","Cap Ceramic 0.1uF 50V X7R 20% SMD 0603 125C Paper T/R","C1, C2, C3","FP-CL10-IPC_B","CMP-001-00084-7","3"
"5040500691","CONN WIRE TO BOARD RA 6POS","J1","MOLEX_5040500691","CMP-253-000000-2","1"
"504050-1091","Conn Wire to Board HDR 10 POS 1.5mm Solder RA SMD Pico-Lock™ T/R","JA1, JC1","FP-504050-1091-MFG","CMP-002-00088-1","2"
"L1RX-RYL1000000000","LUXEON Rubix High Power LED Royal Blue Square Surface Mount 1635 lm 1.5 A 3.16 V","LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED36, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48","L1RX-RYL1000000000-Footprint-1","CMP-007-00052-3","26"
"L1C1-59","","LED14, LED15, LED16, LED21, LED22, LED23, LED57, LED58, LED59, LED60, LED61, LED62, LED63, LED64","LUXEON_C_DATASHEET","CMP-124-0001-3","14"
"L1C1-RYL","","LED17, LED18, LED19, LED20","LUXEON_C_DATASHEET","CMP-124-0001-3","4"
"L1C1-PCB","","LED24, LED25, LED26, LED27, LED30, LED31, LED32, LED33","LUXEON_C_DATASHEET","CMP-124-0001-3","8"
"L1C1-BLU","","LED28, LED29, LED34, LED35","LUXEON_C_DATASHEET","CMP-124-0001-3","4"
"L1C1-VLT","","LED49, LED50, LED51, LED54, LED55, LED56","LUXEON_C_DATASHEET","CMP-124-0001-3","6"
"CUN8","","LED52, LED53","VIOSYS_Z5","CMP-124-0001-3","2"
"L1C1-39","","LED65, LED66, LED71, LED72","LUXEON_C_DATASHEET","CMP-124-0001-3","4"
"L1C1-DRD","","LED67, LED70","LUXEON_C_DATASHEET","CMP-124-0001-3","2"
"L1C1-PCA","","LED68, LED69","LUXEON_C_DATASHEET","CMP-124-0001-3","2"
"L1C1-MNT","","LED73, LED75, LED77, LED79","LUXEON_C_DATASHEET","CMP-124-0001-3","4"
"L1C1-CYN","","LED74, LED76, LED78, LED80","LUXEON_C_DATASHEET","CMP-124-0001-3","4"
"0R 1206","Res Jumper Thick Film 1206 0 Ohm 5% 1/4W Molded SMD Paper T/R","R1, R2","FP-RC1206-IPC_B","CMP-009-00181-1","2"
"MCP9808T-E/MC","Temp Sensor Digital Serial (2-Wire, I2C) 8-Pin DFN EP T/R","U1","MCHP-DFN-MC8_V","CMP-010-00024-2","1"
"DS18B20U+T&R","Temp Sensor Digital Serial (1-Wire) 8-Pin uMAX T/R","U2","MAXM-U8+1_N","CMP-010-00025-1","1"
"MCP9808","Temp Sensor Digital Serial (2-Wire, I2C) 8-Pin MSOP Tube","U3","MCHP-MSOP-MS8_M","CMP-114-0012-2","1"
